_id,dateCreated,numberOfLikes,sourceOfTweet,tweetContent,_class
20000,2022-11-20 23:59:21+00:00,4,Twitter Web App,"What are we drinking today @TucanTribe 
@MadBears_ 
@lkinc_algo 
@al_goanna 

#WorldCup2022 https://t.co/Oga3TzvG5h",io.bootify.twitter_data_base.domain.Tweet
20001,2022-11-20 23:59:01+00:00,3,Twitter for iPhone,"Amazing @CanadaSoccerEN  #WorldCup2022 launch video. Shows how much the face of Canada and our men’s national team have changed since our last World Cup entry in 1986.  Can’t wait to see these boys in action!

This is Canada: FIFA World Cup Opening Video https://t.co/7g73vvwtg8",io.bootify.twitter_data_base.domain.Tweet
20002,2022-11-20 23:58:41+00:00,1,Twitter for iPhone,Worth reading while watching #WorldCup2022 https://t.co/1SQrNa2dYU,io.bootify.twitter_data_base.domain.Tweet
20003,2022-11-20 23:58:33+00:00,1,Twitter Web App,"Golden Maknae shinning bright

https://t.co/4AyZbzGTX4
#JeonJungkook #Jungkook #전정국 #정국 #JK #GoldenMaknae #bunny #Kookie #Jungshook #BTS #방탄소년단 #WorldCup2022 #FIFAKOOK 
@BTS_twt",io.bootify.twitter_data_base.domain.Tweet
20004,2022-11-20 23:58:28+00:00,0,Twitter for Android,"If the BBC cares so much about human rights, homosexual rights, and women rights then why not say these before the opening ceremony?? Why are they saying these during the opening ceremony?? Why did the BBC censor the #WorldCup2022 opening ceremony?? https://t.co/f72P03ZN2k",io.bootify.twitter_data_base.domain.Tweet
20005,2022-11-20 23:57:32+00:00,0,Twitter for Android,"And like, will the mexican fans be able to scream ""PUTO"" now? Or is that too homophobic for qatar? @FIFAWorldCup #WorldCup2022",io.bootify.twitter_data_base.domain.Tweet
20006,2022-11-20 23:57:06+00:00,0,Twitter for Android,Look like a only me and the Jamaican football team naw follow up worldcup #WorldCup2022,io.bootify.twitter_data_base.domain.Tweet
20007,2022-11-20 23:57:05+00:00,0,Twitter for Android,"Really? Football on a Monday morning at 9 and 12 and then 3? I need to pinch myself. Is it really happening? 
#WorldCup2022",io.bootify.twitter_data_base.domain.Tweet
20008,2022-11-20 23:56:10+00:00,1,Twitter for iPhone,"As the World Cup starts in Qatar, it’s Black Awareness Day in Brazil✊🏽. Despite the atrocities linked to this year’s host and to Fifa, soccer is so fundamental for lower classes, mostly Black and Brown, as Vini Jr identifies #WorldCup2022 #diadaconsciencianegra #CopaDoMundo2022 https://t.co/8mI9UqNWX7",io.bootify.twitter_data_base.domain.Tweet
20009,2022-11-20 23:56:08+00:00,0,Twitter for iPhone,#WorldCup2022 @ITVSport &amp; @LFSYSTEMMUSIC go together so well ‘Hungry For Your Love’🫶 ⚽️👌,io.bootify.twitter_data_base.domain.Tweet
20010,2022-11-20 23:56:05+00:00,1,Twitter for iPhone,"#Qatar tried to help its useless soccer team 5 minutes into the inaugural game, by denying an undoubtedly perfectly good goal to #Ecuador @ #WorldCup2022 

This world cup host is a #FAIL https://t.co/Y2YwlQQwFE",io.bootify.twitter_data_base.domain.Tweet
20011,2022-11-20 23:54:44+00:00,0,Twitter for iPhone,"What a happy night @socios @Socios_Turkiye 
#CHZ $PFL #socios #WorldCup2022 https://t.co/1sDsWvrztU",io.bootify.twitter_data_base.domain.Tweet
20012,2022-11-20 23:54:31+00:00,0,Twitter for iPhone,Let’s go #TeamUSA 🇺🇸🇺🇸🇺🇸#WorldCup2022,io.bootify.twitter_data_base.domain.Tweet
